chunk_id,file,line,section,text,parameter_class,parameter_type,confidence,reviewed,notes
chunk_6f7ecc59,src/b-st-ext.adoc,1213,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > clmul,foreach (i from 0 to (xlen - 1) by 1) { output = if ((rs2val >> i) & 1) then output ^ (rs1val << i); else output; },unknown,unknown,high,False,
chunk_9119292b,src/b-st-ext.adoc,1273,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > clmulh,foreach (i from 1 to xlen by 1) { output = if ((rs2val >> i) & 1) then output ^ (rs1val >> (xlen - i)); else output; },unknown,unknown,high,False,
chunk_9f291ed8,src/b-st-ext.adoc,1335,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > clmulr,foreach (i from 0 to (xlen - 1) by 1) { output = if ((rs2val >> i) & 1) then output ^ (rs1val >> (xlen - i - 1)); else output; },unknown,unknown,high,False,
chunk_c467946b,src/b-st-ext.adoc,1389,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > clz,"Accordingly, if the input is 0, the output is XLEN, and if the most-significant bit of the input is a 1, the output is 0.",unknown,unknown,high,False,
chunk_c6b7c07b,src/b-st-ext.adoc,1398,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > clz,function HighestSetBit x = { foreach (i from (xlen - 1) to 0 by 1 in dec) if [x[i]] 0b1 then return(i) else (); return -1; },unknown,unknown,high,False,
chunk_39d5e5ae,src/b-st-ext.adoc,1454,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > clzw,function HighestSetBit32 x = { foreach (i from 31 to 0 by 1 in dec) if [x[i]] 0b1 then return(i) else (); return -1; },unknown,unknown,high,False,
chunk_3448113b,src/b-st-ext.adoc,1509,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > cpop,foreach (i from 0 to (xlen - 1) in inc) if rs[i] 0b1 then bitcount = bitcount + 1 else ();,unknown,unknown,high,False,
chunk_0c22b02e,src/b-st-ext.adoc,1569,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > cpopw,foreach (i from 0 to 31 in inc) if val[i] 0b1 then bitcount = bitcount + 1 else ();,unknown,unknown,high,False,
chunk_3abf2f8d,src/b-st-ext.adoc,1611,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > ctz,"Accordingly, if the input is 0, the output is XLEN, and if the least-significant bit of the input is a 1, the output is 0.",unknown,unknown,high,False,
chunk_4586d663,src/b-st-ext.adoc,1621,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > ctz,function LowestSetBit x = { foreach (i from 0 to (xlen - 1) by 1 in dec) if [x[i]] 0b1 then return(i) else (); return xlen; },unknown,unknown,high,False,
chunk_3e8b7f15,src/b-st-ext.adoc,1667,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > ctzw,"Accordingly, if the least-significant word is 0, the output is 32, and if the least-significant bit of the input is a 1, the output is 0.",unknown,unknown,high,False,
chunk_7ac216f1,src/b-st-ext.adoc,1676,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > ctzw,function LowestSetBit32 x = { foreach (i from 0 to 31 by 1 in dec) if [x[i]] 0b1 then return(i) else (); return 32; },unknown,unknown,high,False,
chunk_8547b17a,src/b-st-ext.adoc,1732,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > max,let result = if rs1val <s rs2val then rs2val else rs1val;,unknown,unknown,high,False,
chunk_da7e0a08,src/b-st-ext.adoc,1795,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > maxu,let result = if rs1val <u rs2val then rs2val else rs1val;,unknown,unknown,high,False,
chunk_21ef0738,src/b-st-ext.adoc,1848,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > min,let result = if rs1val <s rs2val then rs1val else rs2val;,unknown,unknown,high,False,
chunk_68c32239,src/b-st-ext.adoc,1901,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > minu,let result = if rs1val <u rs2val then rs1val else rs2val;,unknown,unknown,high,False,
chunk_ac3abf3b,src/b-st-ext.adoc,1943,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > orc.b,"This sets the bits of each byte in the result rd to all zeros if no bit within the respective byte of rs is set, or to all ones if any bit within the respective byte of rs is set.",unknown,unknown,high,False,
chunk_8367c35b,src/b-st-ext.adoc,1954,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > orc.b,foreach (i from 0 to (xlen - 8) by 8) { output[(i + 7)..i] = if input[(i + 7)..i] 0 then 0b00000000 else 0b11111111; },unknown,unknown,high,False,
chunk_a13aaf9e,src/b-st-ext.adoc,2074,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > pack,"Hence, for RV32, any extension that contains the `pack` instruction also contains the `zext.h` instruction (but not necessarily the `c.zext.h` instruction, which is only guaranteed to exist if both the Zcb and Zbb extensions are implemented).",unknown,unknown,high,False,
chunk_9d078cff,src/b-st-ext.adoc,2182,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > packw,"Hence, for RV64, any extension that contains the `packw` instruction also contains the `zext.h` instruction (but not necessarily the `c.zext.h` instruction, which is only guaranteed to exist if both the Zcb and Zbb extensions are implemented).",unknown,unknown,high,False,
chunk_3fa701c7,src/b-st-ext.adoc,2351,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > rol,"Operation:: [source,sail] -- let shamt = if xlen 32 then X(rs2)[4..0] else X(rs2)[5..0]; let result = (X(rs1) (xlen - shamt));",unknown,unknown,high,False,
chunk_5d1d4830,src/b-st-ext.adoc,2403,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > rolw,The resulting word value is sign-extended by copying bit 31 to all of the more-significant bits.,unknown,enum,high,False,
chunk_94adf6c4,src/b-st-ext.adoc,2460,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > ror,"Operation:: [source,sail] -- let shamt = if xlen 32 then X(rs2)[4..0] else X(rs2)[5..0]; let result = (X(rs1) >> shamt) | (X(rs1) << (xlen - shamt));",unknown,unknown,high,False,
chunk_724c674f,src/b-st-ext.adoc,2530,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > rori,"Operation:: [source,sail] -- let shamt = if xlen 32 then shamt[4..0] else shamt[5..0]; let result = (X(rs1) >> shamt) | (X(rs1) << (xlen - shamt));",unknown,unknown,high,False,
chunk_6c1bc4c4,src/b-st-ext.adoc,2582,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > roriw,The resulting word value is sign-extended by copying bit 31 to all of the more-significant bits.,unknown,enum,high,False,
chunk_3c467591,src/b-st-ext.adoc,2639,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > rorw,The resultant word is sign-extended by copying bit 31 to all of the more-significant bits.,unknown,enum,high,False,
chunk_d381403f,src/b-st-ext.adoc,3241,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > xperm8,The rs1 register contains a vector of XLEN/8 8-bit elements.,non_CSR_parameter,range,medium,False,
chunk_e09be124,src/b-st-ext.adoc,3241,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > xperm8,The rs2 register contains a vector of XLEN/8 8-bit indexes.,non_CSR_parameter,range,medium,False,
chunk_0c7247ac,src/b-st-ext.adoc,3303,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > xperm4,The rs1 register contains a vector of XLEN/4 4-bit elements.,non_CSR_parameter,range,medium,False,
chunk_e09dbd4b,src/b-st-ext.adoc,3303,Preamble > Bit Manipulation Extensions > Instructions (in alphabetical order) > xperm4,The rs2 register contains a vector of XLEN/4 4-bit indexes.,non_CSR_parameter,range,medium,False,
chunk_a7b3ed7d,src/intro.adoc,146,Preamble > Introduction > RISC-V ISA Overview,"A RISC-V ISA is defined as a base integer ISA, which must be present in any implementation, plus optional extensions to the base ISA.",non_CSR_parameter,enum,very_high,False,
chunk_934647e2,src/intro.adoc,172,Preamble > Introduction > RISC-V ISA Overview,"For this purpose, we divide each RISC-V instruction-set encoding space (and related encoding spaces such as the CSRs) into three disjoint categories: standard, reserved, and custom.",CSR_controlled,enum,high,False,
chunk_6db06846,src/intro.adoc,172,Preamble > Introduction > RISC-V ISA Overview,Custom encodings shall never be used for standard extensions and are made available for vendor-specific non-standard extensions.,non_CSR_parameter,enum,very_high,False,
chunk_9ee31d36,src/intro.adoc,313,Preamble > Introduction > Base Instruction-Length Encoding,The base RISC-V ISA has fixed-length 32-bit instructions that must be naturally aligned on 32-bit boundaries.,non_CSR_parameter,range,very_high,False,
chunk_545961c8,src/intro.adoc,439,"Preamble > Introduction > Exceptions, Traps, and Interrupts",Instruction encodings that are not defined here and not defined by some other means may cause a fatal trap.,non_CSR_parameter,enum,high,False,
chunk_fa950ca0,src/naming.adoc,65,Preamble > ISA Extension Naming Conventions > Additional Standard Unprivileged Extension Names,"All multi-letter extensions, including those with the ""Z"" prefix, must be separated from other multi-letter extensions by an underscore, e.g., ""RV32IMACZicsrZifencei"".",CSR_controlled,enum,very_high,False,
chunk_529b547b,src/naming.adoc,74,Preamble > ISA Extension Naming Conventions > User-Level Instruction-Set Extension Names,"Standard user-level extensions should be listed after standard unprivileged extensions, and like other multi-letter extensions, must be separated from other multi-letter extensions by an underscore.",non_CSR_parameter,enum,very_high,False,
chunk_59a5d0ad,src/naming.adoc,92,Preamble > ISA Extension Naming Conventions > Supervisor-Level Instruction-Set Extension Names,"Standard supervisor-level extensions should be listed after standard unprivileged and user-level extensions, and like other multi-letter extensions, must be separated from other multi-letter extensions by an underscore.",non_CSR_parameter,enum,very_high,False,
chunk_fea06266,src/naming.adoc,103,Preamble > ISA Extension Naming Conventions > Hypervisor-Level Instruction-Set Extension Names,"Standard hypervisor-level extensions should be listed after standard unprivileged, user-level and supervisor-level extensions, and like other multi-letter extensions, must be separated from other multi-letter extensions by an underscore.",SW_rule,enum,very_high,False,
chunk_2a35f724,src/naming.adoc,120,Preamble > ISA Extension Naming Conventions > Machine-Level Instruction-Set Extension Names,"Standard machine-level extensions should be listed after standard lesser-privileged extensions, and like other multi-letter extensions, must be separated from other multi-letter extensions by an underscore.",non_CSR_parameter,enum,very_high,False,
chunk_be42535c,src/naming.adoc,132,Preamble > ISA Extension Naming Conventions > Non-Standard Extension Names,"Non-standard extensions must be listed after all standard extensions, and, like other multi-letter extensions, must be separated from other multi-letter extensions by an underscore.",non_CSR_parameter,enum,very_high,False,
chunk_3b6a96d7,src/naming.adoc,149,Preamble > ISA Extension Naming Conventions > Version Numbers,"Because the ""P"" extension for Packed SIMD can be confused for the decimal point in a version number, it must be preceded by an underscore if it follows another extension with a version number.",non_CSR_parameter,binary,very_high,False,
chunk_fbb0d188,src/naming.adoc,155,Preamble > ISA Extension Naming Conventions > Version Numbers,"Changes in major version numbers imply a loss of backwards compatibility, whereas changes in only the minor version number must be backwards-compatible.",non_CSR_parameter,enum,very_high,False,
chunk_efe787ec,src/priv/cfi.adoc,18,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Landing-Pad-Enabled (LPE) State,The term `xLPE` is used to determine if forward-edge CFI using landing pads provided by the Zicfilp extension is enabled at a privilege mode.,unknown,binary,high,False,
chunk_59acce82,src/priv/cfi.adoc,21,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Landing-Pad-Enabled (LPE) State,"When S-mode is implemented, it is determined as follows:",unknown,unknown,high,False,
chunk_e3dcab7c,src/priv/cfi.adoc,34,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Landing-Pad-Enabled (LPE) State,"When S-mode is not implemented, it is determined as follows:",unknown,unknown,high,False,
chunk_4895ad36,src/priv/cfi.adoc,50,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Landing-Pad-Enabled (LPE) State > Preserving Expected Landing Pad State on Traps,"A trap may need to be delivered to the same or to a higher privilege mode upon completion of `JALR`/`C.JALR`/`C.JR`, but before the instruction at the target of indirect call/jump was decoded, due to:",non_CSR_parameter,enum,high,False,
chunk_6e558ddf,src/priv/cfi.adoc,54,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Landing-Pad-Enabled (LPE) State > Preserving Expected Landing Pad State on Traps,"Asynchronous interrupts. * Synchronous exceptions with priority higher than that of a software-check exception with `xtval` set to ""landing pad fault (code=2)"" (See of Privileged Specification).",SW_rule,unknown,high,False,
chunk_f4d03112,src/priv/cfi.adoc,59,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Landing-Pad-Enabled (LPE) State > Preserving Expected Landing Pad State on Traps,The software-check exception caused by Zicfilp has higher priority than an illegal-instruction exception but lower priority than instruction access-fault.,SW_rule,unknown,high,False,
chunk_e3544eaf,src/priv/cfi.adoc,63,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Landing-Pad-Enabled (LPE) State > Preserving Expected Landing Pad State on Traps,The software-check exception due to the instruction not being an `LPAD` instruction when `ELP` is `LPEXPECTED` or a software-check exception caused by the `LPAD` instruction itself leads to a trap being delivered to the same or to a higher privilege mode.,SW_rule,enum,high,False,
chunk_46ce2b58,src/priv/cfi.adoc,69,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Landing-Pad-Enabled (LPE) State > Preserving Expected Landing Pad State on Traps,"In such cases, the `ELP` prior to the trap, the previous `ELP`, must be preserved by the trap delivery such that it can be restored on a return from the trap.",non_CSR_parameter,binary,very_high,False,
chunk_2afc3f0c,src/priv/cfi.adoc,69,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Landing-Pad-Enabled (LPE) State > Preserving Expected Landing Pad State on Traps,"To store the previous `ELP` state on trap delivery to M-mode, an `MPELP` bit is provided in the `mstatus` CSR.",CSR_controlled,enum,high,False,
chunk_841fe5d9,src/priv/cfi.adoc,69,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Landing-Pad-Enabled (LPE) State > Preserving Expected Landing Pad State on Traps,"To store the previous `ELP` state on trap delivery to S/HS-mode, an `SPELP` bit is provided in the `mstatus` CSR.",CSR_controlled,enum,high,False,
chunk_430ad9ab,src/priv/cfi.adoc,69,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Landing-Pad-Enabled (LPE) State > Preserving Expected Landing Pad State on Traps,The `SPELP` bit in `mstatus` can be accessed through the `sstatus` CSR.,CSR_controlled,enum,high,False,
chunk_947c4270,src/priv/cfi.adoc,69,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Landing-Pad-Enabled (LPE) State > Preserving Expected Landing Pad State on Traps,"To store the previous `ELP` state on traps to VS-mode, a `SPELP` bit is defined in the `vsstatus` (VS-modes version of `sstatus`).",CSR_controlled,enum,high,False,
chunk_6dabd988,src/priv/cfi.adoc,69,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Landing-Pad-Enabled (LPE) State > Preserving Expected Landing Pad State on Traps,"To store the previous `ELP` state on transition to Debug Mode, a `pelp` bit is defined in the `dcsr` register.",CSR_controlled,enum,high,False,
chunk_ec92d094,src/priv/cfi.adoc,79,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Landing-Pad-Enabled (LPE) State > Preserving Expected Landing Pad State on Traps,"When a trap is taken into privilege mode `x`, the `xPELP` is set to `ELP` and `ELP` is set to `NOLPEXPECTED`.",unknown,enum,high,False,
chunk_304cdc22,src/priv/cfi.adoc,83,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Landing-Pad-Enabled (LPE) State > Preserving Expected Landing Pad State on Traps,"An `MRET` or `SRET` instruction is used to return from a trap in M-mode or S-mode, respectively.",unknown,unknown,high,False,
chunk_1c7e4dde,src/priv/cfi.adoc,90,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Landing-Pad-Enabled (LPE) State > Preserving Expected Landing Pad State on Traps,"Upon entry into Debug Mode, the `pelp` bit in `dcsr` is updated with the `ELP` at the privilege level the hart was previously in, and the `ELP` is set to `NOLPEXPECTED`.",CSR_controlled,enum,high,False,
chunk_66ffceca,src/priv/cfi.adoc,97,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Landing-Pad-Enabled (LPE) State > Preserving Expected Landing Pad State on Traps,See also for semantics added to the RNMI trap and the MNRET instruction when this extension is implemented.,unknown,unknown,high,False,
chunk_b72e9503,src/priv/cfi.adoc,109,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Pointer (`ssp`) CSR access control,"Attempts to access the `ssp` CSR may result in either an illegal-instruction exception or a virtual-instruction exception, contingent upon the state of the *x*`envcfg.SSE` fields.",CSR_controlled,enum,high,False,
chunk_8a6ad9f0,src/priv/cfi.adoc,114,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Pointer (`ssp`) CSR access control,"If the privilege mode is less than M and `menvcfg.SSE` is 0, an illegal-instruction exception is raised. *",CSR_controlled,range,high,False,
chunk_cb449656,src/priv/cfi.adoc,114,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Pointer (`ssp`) CSR access control,"Otherwise, if in U-mode and `senvcfg.SSE` is 0, an illegal-instruction exception is raised. *",CSR_controlled,enum,high,False,
chunk_a5ab2e84,src/priv/cfi.adoc,114,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Pointer (`ssp`) CSR access control,"Otherwise, if in VS-mode and `henvcfg.SSE` is 0, a virtual-instruction exception is raised. *",CSR_controlled,enum,high,False,
chunk_9b132194,src/priv/cfi.adoc,114,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Pointer (`ssp`) CSR access control,"Otherwise, if in VU-mode and either `henvcfg.SSE` or `senvcfg.SSE` is 0, a virtual-instruction exception is raised. *",CSR_controlled,enum,high,False,
chunk_d0a9ffe4,src/priv/cfi.adoc,114,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Pointer (`ssp`) CSR access control,"Otherwise, the access is allowed.",unknown,unknown,high,False,
chunk_674b797a,src/priv/cfi.adoc,126,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow-Stack-Enabled (SSE) State,The term `xSSE` is used to determine if backward-edge CFI using shadow stacks provided by the Zicfiss extension is enabled at a privilege mode.,unknown,binary,high,False,
chunk_73e96a24,src/priv/cfi.adoc,129,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow-Stack-Enabled (SSE) State,"When S-mode is implemented, it is determined as follows:",unknown,unknown,high,False,
chunk_220a4e5f,src/priv/cfi.adoc,142,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow-Stack-Enabled (SSE) State,"When S-mode is not implemented, then `xSSE` is 0 at both M and U privilege modes.",unknown,enum,high,False,
chunk_dfde7c23,src/priv/cfi.adoc,153,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Memory Protection,"When `menvcfg.SSE=0`, this encoding remains reserved.",CSR_controlled,enum,high,False,
chunk_7f4b2a9c,src/priv/cfi.adoc,153,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Memory Protection,"Similarly, when `V=1` and `henvcfg.SSE=0`, this encoding remains reserved at `VS` and `VU` levels.",CSR_controlled,enum,high,False,
chunk_7cb98c59,src/priv/cfi.adoc,159,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Memory Protection,"If `satp.MODE` (or `vsatp.MODE` when `V=1`) is set to `Bare` and the effective privilege mode is less than M, shadow stack instructions raise a store/AMO access-fault exception.",CSR_controlled,range,high,False,
chunk_a0d66d71,src/priv/cfi.adoc,159,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Memory Protection,"When the effective privilege mode is M, memory access by an `SSAMOSWAP.W/D` instruction results in a store/AMO access-fault exception.",non_CSR_parameter,enum,high,False,
chunk_cf57eff0,src/priv/cfi.adoc,164,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Memory Protection,Attempts will raise a store/AMO access-fault exception.,non_CSR_parameter,unknown,high,False,
chunk_08a7c3f9,src/priv/cfi.adoc,164,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Memory Protection,Access to a SS page using cache-block operation (`CBO.*`) instructions is not permitted.,non_CSR_parameter,unknown,medium,False,
chunk_4fa24c19,src/priv/cfi.adoc,164,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Memory Protection,Such accesses will raise a store/AMO access-fault exception.,non_CSR_parameter,unknown,high,False,
chunk_3147dcff,src/priv/cfi.adoc,164,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Memory Protection,"Implicit accesses, including instruction fetches to an SS page, are not permitted.",non_CSR_parameter,unknown,medium,False,
chunk_c1f2e8e4,src/priv/cfi.adoc,164,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Memory Protection,Such accesses will raise an access-fault exception appropriate to the access type.,non_CSR_parameter,unknown,high,False,
chunk_301e1065,src/priv/cfi.adoc,173,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Memory Protection,"If a shadow stack (SS) instruction raises an access-fault, page-fault, or guest-page-fault exception that is supposed to indicate the original instruction type (load or store/AMO), then the reported exception cause is respectively a store/AMO access fault (code 7), a store/AMO page fault (code 15), or a store/AMO guest-page fault (code 23).",non_CSR_parameter,unknown,high,False,
chunk_20916096,src/priv/cfi.adoc,182,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Memory Protection,"Should a shadow stack instruction access a page that is not designated as a shadow stack page and is not marked as read-only (`pte.xwr=001`), a store/AMO access-fault exception will be invoked.",non_CSR_parameter,enum,high,False,
chunk_5b44518a,src/priv/cfi.adoc,182,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Memory Protection,"Conversely, if the page being accessed by a shadow stack instruction is a read-only page, a store/AMO page-fault exception will be triggered.",unknown,unknown,high,False,
chunk_8edde9db,src/priv/cfi.adoc,191,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Memory Protection,"If the virtual address in `ssp` is not `XLEN` aligned, then the `SSPUSH`/ `C.SSPUSH`/`SSPOPCHK`/`C.SSPOPCHK` instructions cause a store/AMO access-fault exception.",unknown,unknown,high,False,
chunk_4d03ceda,src/priv/cfi.adoc,196,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Memory Protection,"If the memory referenced by `SSPUSH`/`C.SSPUSH`/`SSPOPCHK`/`C.SSPOPCHK`/`SSAMOSWAP.W/D` instructions is not idempotent, then the instructions cause a store/AMO access-fault exception.",unknown,unknown,high,False,
chunk_8f51959d,src/priv/cfi.adoc,206,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Memory Protection,"When G-stage page tables are active, the shadow stack instructions that access memory require the G-stage page table to have read-write permission for the accessed memory; else a store/AMO guest-page-fault exception is raised.",non_CSR_parameter,unknown,high,False,
chunk_2f23258e,src/priv/cfi.adoc,214,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Memory Protection,The PMA checks are extended to require memory referenced by shadow stack instructions to be idempotent.,unknown,unknown,medium,False,
chunk_2b6e5817,src/priv/cfi.adoc,214,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Memory Protection,The PMP checks are extended to require read-write permission for memory accessed by shadow stack instructions.,unknown,unknown,medium,False,
chunk_e1318df1,src/priv/cfi.adoc,214,Preamble > Control-flow Integrity (CFI) > Landing Pad (Zicfilp) > Shadow Stack (Zicfiss) > Shadow Stack Memory Protection,If the PMP does not provide read-write permissions or if the accessed memory is not idempotent then a store/AMO access-fault exception is raised.,non_CSR_parameter,unknown,high,False,
