parameter_name,long_name,classification,classification_confidence,classification_reasoning,value_type,value_details,defined_by_extensions,defined_by_summary,has_requirements,num_csr_references,csr_names,spec_file,spec_line,spec_score,spec_is_normative,spec_in_note,spec_text,description
GSTAGE_MODE_BARE,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of hgatp.MODE,binary,"choices: [True, False]",H,ext:H,True,1,hgatp,hypervisor.adoc,1075,11,False,False,"is for `satp`. Instead, the fields of `hgatp` are *WARL* in the normal way,",Whether or not writing mode=Bare is supported in the `hgatp` register.
HCONTEXT_AVAILABLE,TODO,NORM_DIRECT,high,Feature/CSR existence parameter ('AVAILABLE' suffix),binary,"choices: [True, False]",Sdtrig,ext:Sdtrig,True,2,hcontext,smstateen.adoc,287,8,False,False,`hcontext` CSRs provided by the Sdtrig extension. The CONTEXT bit in,Specifies if HCONTEXT is available
HCOUNTENABLE_EN,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of hcounteren.CY,bitmask,32-bit mask,H,ext:H,False,64,hcounteren,hypervisor.adoc,857,12,False,False,"When the CY, TM, IR, or HPM__n__ bit in the `hcounteren` register is","Indicates which counters can delegated via `hcounteren`

An unimplemented counter cannot be specified, i.e., if
HPM_COUNTER_EN[3] is false, it would be illegal to set
HCOUNTENABLE_EN[3] to true.

HCOUNTENABLE_EN[0:2] must all be false if `Zicntr` is not implemented.
HCOUNTENABLE_EN[3:31] must all be"
HPM_COUNTER_EN,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of scountovf.OF3,bitmask,32-bit mask,Smhpm,ext:Smhpm,False,1044,"mhpmcounter10, mhpmcounter10h, mhpmcounter11, mhpmcounter11h, mhpmcounter12, mhpmcounter12h, mhpmcounter13, mhpmcounter13h, mhpmcounter14, mhpmcounter14h, mhpmcounter15, mhpmcounter15h, mhpmcounter16, mhpmcounter16h, mhpmcounter17, mhpmcounter17h, mhpmcounter18, mhpmcounter18h, mhpmcounter19, mhpmcounter19h, mhpmcounter20, mhpmcounter20h, mhpmcounter21, mhpmcounter21h, mhpmcounter22, mhpmcounter22h, mhpmcounter23, mhpmcounter23h, mhpmcounter24, mhpmcounter24h, mhpmcounter25, mhpmcounter25h, mhpmcounter26, mhpmcounter26h, mhpmcounter27, mhpmcounter27h, mhpmcounter28, mhpmcounter28h, mhpmcounter29, mhpmcounter29h, mhpmcounter3, mhpmcounter30, mhpmcounter30h, mhpmcounter31, mhpmcounter31h, mhpmcounter3h, mhpmcounter4, mhpmcounter4h, mhpmcounter5, mhpmcounter5h, mhpmcounter6, mhpmcounter6h, mhpmcounter7, mhpmcounter7h, mhpmcounter8, mhpmcounter8h, mhpmcounter9, mhpmcounter9h, mhpmevent10, mhpmevent10h, mhpmevent11, mhpmevent11h, mhpmevent12, mhpmevent12h, mhpmevent13, mhpmevent13h, mhpmevent14, mhpmevent14h, mhpmevent15, mhpmevent15h, mhpmevent16, mhpmevent16h, mhpmevent17, mhpmevent17h, mhpmevent18, mhpmevent18h, mhpmevent19, mhpmevent19h, mhpmevent20, mhpmevent20h, mhpmevent21, mhpmevent21h, mhpmevent22, mhpmevent22h, mhpmevent23, mhpmevent23h, mhpmevent24, mhpmevent24h, mhpmevent25, mhpmevent25h, mhpmevent26, mhpmevent26h, mhpmevent27, mhpmevent27h, mhpmevent28, mhpmevent28h, mhpmevent29, mhpmevent29h, mhpmevent3, mhpmevent30, mhpmevent30h, mhpmevent31, mhpmevent31h, mhpmevent3h, mhpmevent4, mhpmevent4h, mhpmevent5, mhpmevent5h, mhpmevent6, mhpmevent6h, mhpmevent7, mhpmevent7h, mhpmevent8, mhpmevent8h, mhpmevent9, mhpmevent9h, scountovf",machine.adoc,1615,8,True,False,"[#norm:mcounteren_clr_ill_inst_exc]#When the CY, TM, IR, or HPM__n__ bit in the `mcounteren` register is","List of HPM counters that are enabled.
There is one entry for each hpmcounter.

The first three entries *must* be false (as they correspond to CY, IR, TM in, _e.g._ `mhmpcountinhibit`)
Index 3 in HPM_COUNTER_EN corresponds to hpmcounter3.
Index 31 in HPM_COUNTER_EN corresponds to hpmcounter31."
HPM_EVENTS,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of mhpmevent14.EVENT,set,set of integer,Smhpm,ext:Smhpm,False,29,"mhpmevent10, mhpmevent11, mhpmevent12, mhpmevent13, mhpmevent14, mhpmevent15, mhpmevent16, mhpmevent17, mhpmevent18, mhpmevent19, mhpmevent20, mhpmevent21, mhpmevent22, mhpmevent23, mhpmevent24, mhpmevent25, mhpmevent26, mhpmevent27, mhpmevent28, mhpmevent29, mhpmevent3, mhpmevent30, mhpmevent31, mhpmevent4, mhpmevent5, mhpmevent6, mhpmevent7, mhpmevent8, mhpmevent9",machine.adoc,1581,8,False,False,"`mhpmevent3`-`mhpmevent31`, are 64-bit *WARL* registers that control which",List of defined event numbers that can be written into hpmeventN
HSTATEEN_AIA_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'hstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","H, Ssaia, Ssstateen",ext:Ssaia AND ext:H AND ext:Ssstateen,True,0,,,,0,,,,"Behavior of the hstateen0.AIA bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
HSTATEEN_CONTEXT_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'hstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","H, Sdtrig, Ssstateen",ext:Sdtrig AND ext:H AND ext:Ssstateen,True,0,,smctr.adoc,652,5,True,False,"[#norm:ccounter_reset]#The CtrCycleCounter is reset on writes to `__x__ctrctl`, and on execution of SCTRCLR, to ensure that any accumulated cycle counts do not persist across a context switch.#","Behavior of the hstateen0.CONTEXT bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
HSTATEEN_CSRIND_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'hstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","H, Sscsrind, Ssstateen",ext:Sscsrind AND ext:H AND ext:Ssstateen,True,0,,smstateen.adoc,191,3,False,False,"{bits: 1, name: 'CSRIND'},","Behavior of the hstateen0.CSRIND bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
HSTATEEN_ENVCFG_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'hstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","H, Ssstateen",ext:H(~> 1.0) AND ext:Ssstateen(~> 1.0),True,0,,priv-cfi.adoc,134,3,False,False,*__x__*`envcfg.SSE` fields. The conditions are specified as follows:,"Behavior of the hstateen0.ENVCFG bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
HSTATEEN_IMSIC_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'hstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","H, Ssaia, Ssstateen",ext:Ssaia AND ext:H AND ext:Ssstateen,True,0,,smstateen.adoc,189,3,False,False,"{bits: 1, name: 'IMSIC'},","Behavior of the hstateen0.IMSIC bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
HSTATEEN_JVT_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'hstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","H, Ssstateen, Zcmt",ext:Zcmt AND ext:H AND ext:Ssstateen,True,0,,zc.adoc,2341,4,True,False,"[#norm:Zcmt_entry_sz]#The base of the table is in the jvt CSR (see <<csrs-jvt>>), each table entry is XLEN bits.#","Behavior of the hstateen0.JVT bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
HW_MSTATUS_FS_DIRTY_UPDATE,TODO,SW_RULE,medium,Hardware update behavior (HW_ prefix) — software-deterministic with correct fencing,enum,"values: ['never', 'precise', 'imprecise']",F,ext:F,False,1,mstatus,v-st-ext.adoc,3313,26,True,False,[#norm:mstatus-FS_off_V_fp_ill]#If the floating-point unit status field `mstatus.FS` is `Off` then any,"Indicates whether or not hardware will write to `mstatus.FS`

Values are:
[separator=""!""]
!===
h! never  ! Hardware never writes `mstatus.FS`
h! precise  ! Hardware writes `mstatus.FS` to the Dirty (3) state precisely when F registers are modified
h! imprecise ! Hardware writes `mstatus.FS` imprecis"
HW_MSTATUS_VS_DIRTY_UPDATE,TODO,SW_RULE,medium,Hardware update behavior (HW_ prefix) — software-deterministic with correct fencing,enum,"values: ['never', 'precise', 'imprecise']",V,ext:V,False,1,mstatus,v-st-ext.adoc,107,27,False,False,"If `mstatus.VS` is Dirty, `mstatus.SD` is 1;","Indicates whether or not hardware will write to `mstatus.VS`

Values are:
[separator=""!""]
!===
h! never  ! Hardware never writes `mstatus.VS`
h! precise  ! Hardware writes `mstatus.VS` to the Dirty (3) state precisely when V registers are modified
h! imprecise ! Hardware writes `mstatus.VS` imprecis"
IGNORE_INVALID_VSATP_MODE_WRITES_WHEN_V_EQ_ZERO,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of vsatp.MODE,binary,"choices: [True, False]",H,ext:H,False,3,vsatp,hypervisor.adoc,1416,9,False,False,"ignored as it is for `satp`, or the fields of `vsatp` are treated as *WARL* in","Whether writes from M-mode, U-mode, or S-mode to vsatp with an illegal mode setting are
ignored (as they are with satp), or if they are treated as WARL, leading to undpredictable
behavior."
IMP_ID_VALUE,Vendor-specific implementation ID in `mimpid`,NORM_DIRECT,high,Well-known architectural parameter 'IMP_ID_VALUE',conditional,2 conditional branches,Sm,ext:Sm AND param:MIMPID_IMPLEMENTED(equal=True),False,1,mimpid,machine.adoc,335,5,False,False,==== Machine Implementation ID (`mimpid`) Register,A unique encoding of the version of the processor implementation.
JVT_BASE_MASK,Mask representing the implemented bits of jvt.BASE,NORM_CSR_WARL,high,Referenced in sw_write() of jvt.BASE,range,[64..576460752303423487],Zcmt,ext:Zcmt AND param:JVT_BASE_TYPE(equal=mask),True,1,jvt,c-st-ext.adoc,466,8,True,False,"instructions. [#norm:Zca_offsets_mul2]#As with base RVI instructions, the offsets of all RVC","Mask representing the implemented bits of jvt.BASE.
Includes the implicitly-zero bits of jvt.BASE, so JVT_BASE_MASK[5:0] must always be 0."
JVT_BASE_TYPE,Type of the jvt.BASE CSR field,NORM_CSR_WARL,high,Referenced in sw_write() of jvt.BASE,binary,"choices: ['mask', 'custom']",Zcmt,ext:Zcmt,False,1,jvt,c-st-ext.adoc,466,10,True,False,"instructions. [#norm:Zca_offsets_mul2]#As with base RVI instructions, the offsets of all RVC","Type of the jvt.BASE CSR field. One of:

* mask: jvt.BASE contains one or more implemented bits, which are indicated by JVT_BASE_MASK.
* custom: Custom behavior. Will cause hart to enter 'unpredictable' state on a write to jvt.BASE."
JVT_READ_ONLY,Whether or not the JVT CSR is read-only,NORM_CSR_WARL,high,Referenced in sw_write() of jvt.MODE,binary,"choices: [True, False]",Zcmt,ext:Zcmt,False,3,jvt,zc.adoc,2341,6,True,False,"[#norm:Zcmt_entry_sz]#The base of the table is in the jvt CSR (see <<csrs-jvt>>), each table entry is XLEN bits.#","If Zcmt is implemented, JVT is implemented, but can contain a read-only value"
LRSC_FAIL_ON_NON_EXACT_LRSC,TODO,NORM_DIRECT,medium,Load-reserved/store-conditional behavior parameter,binary,"choices: [True, False]",Zalrsc,ext:Zalrsc,False,0,,a-st-ext.adoc,169,3,False,False,The SC must fail if the address is not within the reservation set of the,"Whether or not a Store Conditional fails if its physical address and size do not
exactly match the physical address and size of the last Load Reserved in program order
(independent of whether or not the SC is in the current reservation set)"
LRSC_FAIL_ON_VA_SYNONYM,TODO,NORM_DIRECT,medium,Load-reserved/store-conditional behavior parameter,binary,"choices: [True, False]",Zalrsc,ext:Zalrsc,False,0,,a-st-ext.adoc,76,7,False,False,SC.W instruction invalidates any reservation held by this hart. LR.D and,"Whether or not an `sc.l`/`sc.d` will fail if its VA does not match the VA of the prior
`lr.l`/`lr.d`, even if the physical address of the SC and LR are the same"
LRSC_MISALIGNED_BEHAVIOR,TODO,NORM_DIRECT,medium,Load-reserved/store-conditional behavior parameter,enum,"values: ['always raise misaligned exception', 'always raise access fault', 'custom']",Zalrsc,ext:Zalrsc,False,0,,a-st-ext.adoc,59,12,False,False,are performed with the load-reserved (LR) and store-conditional (SC),"What to do when an LR/SC address is misaligned and MISALIGNED_AMO == false.

  * 'always raise misaligned exception': self-explainitory
  * 'always raise access fault': self-explainitory
  * 'custom': Custom behavior; misaligned LR/SC may sometimes raise a misaligned exception and sometimes raise a "
LRSC_RESERVATION_STRATEGY,TODO,NORM_DIRECT,medium,Load-reserved/store-conditional behavior parameter,enum,"values: ['reserve naturally-aligned 64-byte region', 'reserve naturally-aligned 128-byte region', 'reserve exactly enough to cover the access', 'custom']",Zalrsc,ext:Zalrsc,False,0,,a-st-ext.adoc,76,19,False,False,SC.W instruction invalidates any reservation held by this hart. LR.D and,"Strategy used to handle reservation sets.

  * ""reserve naturally-aligned 64-byte region"": Always reserve the 64-byte block containing the LR/SC address
  * ""reserve naturally-aligned 128-byte region"": Always reserve the 128-byte block containing the LR/SC address
  * ""reserve exactly enough to cove"
MARCHID_IMPLEMENTED,Whether or not the `marchid` CSR is implemented.,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,machine.adoc,303,10,False,False,The combination of `mvendorid` and `marchid` should uniquely identify the type of hart microarchitecture that is implemented.,"* false: `marchid` is not implemented, and must be read-only-0
* true: `marchid` is implemented, and the value is determined by `ARCH_ID_VALUE`"
MCID_WIDTH,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of srmcfg.MCID,range,[1..12],Ssqosid,ext:Ssqosid,False,1,srmcfg,supervisor.adoc,2586,8,False,False,The `RCID` and `MCID` configured in the `srmcfg` CSR apply to all privilege,"Number of bits used for the Monitoring Counter ID field (MCID).
Default is 12."
MCONTEXT_AVAILABLE,TODO,NORM_DIRECT,high,Feature/CSR existence parameter ('AVAILABLE' suffix),binary,"choices: [True, False]",Sdtrig,ext:Sdtrig,False,2,mcontext,priv-csrs.adoc,1019,6,False,False,`mcontext`,Specifies if MCONTEXT is available
MCOUNTENABLE_EN,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of mcounteren.CY,bitmask,32-bit mask,U,ext:U,True,62,mcounteren,machine.adoc,1656,13,True,False,"[#norm:mcounteren_flds_mandatory_warl]#In harts with U-mode, the `mcounteren` must be","Indicates which counters can be delegated via `mcounteren`.

An unimplemented counter cannot be specified, i.e., if
HPM_COUNTER_EN[3] is false, it would be illegal to set
MCOUNTENABLE_EN[3] to true.

MCOUNTENABLE_EN[0:2] must all be false if `Zicntr` is not implemented.
MCOUNTENABLE_EN[3:31] must al"
MIMPID_IMPLEMENTED,Whether or not the `mimpid` CSR is implemented.,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,machine.adoc,337,9,True,False,[#norm:mimpid_op]#The `mimpid` CSR provides a unique encoding of the version of the,"* false: `mimpid` is not implemented, and must be read-only-0
* true: `mimpid` is implemented, and the value is determined by `IMP_ID_VALUE`"
MISALIGNED_AMO,TODO,NORM_DIRECT,medium,Misaligned access behavior parameter,binary,"choices: [True, False]",Zaamo,ext:Zaamo,False,0,,machine.adoc,1976,5,True,False,[#norm:mcause_exccode_pri2]#Load/store/AMO address-misaligned exceptions may have either higher or,whether or not the implementation supports misaligned atomics in main memory
MISALIGNED_LDST,Support for misaligned loads and stores to main memory.,NORM_DIRECT,medium,Misaligned access behavior parameter,binary,"choices: [True, False]",Sm,ext:Sm,False,0,,machine.adoc,1976,5,True,False,[#norm:mcause_exccode_pri2]#Load/store/AMO address-misaligned exceptions may have either higher or,"Does the implementation perform non-atomic misaligned loads and stores to main memory
(does *not* affect misaligned support to device memory)?
If not, the implementation always throws a misaligned exception."
MISALIGNED_LDST_EXCEPTION_PRIORITY,"The relative priority of a load/store/AMO exception vs. load/store/AMO page-fault
or access-fault exceptions.",NORM_DIRECT,medium,Misaligned access behavior parameter,binary,"choices: ['low', 'high']",Sm,ext:Sm,True,0,,rv32.adoc,139,6,True,False,[#norm:taken_cti_misaligned_exc]#An instruction-address-misaligned exception is generated on a taken branch,"The relative priority of a load/store/AMO exception vs. load/store/AMO page-fault
or access-fault exceptions.

May be one of:

[separator=""!""]
!===
! low  ! Misaligned load/store/AMO exceptions are always lower priority than load/store/AMO page-fault and access-fault exceptions.
! high ! Misaligned "
MISALIGNED_MAX_ATOMICITY_GRANULE_SIZE,"The maximum granule size, in bytes, that the hart can atomically perform a
misaligned load/store/AMO without raising a Misaligned exception",NORM_DIRECT,medium,Misaligned access behavior parameter,enum,13 values,Sm,ext:Sm AND param:MISALIGNED_LDST(equal=True),True,0,,a-st-ext.adoc,385,7,False,False,"The misaligned atomicity granule PMA, defined in Volume II of this manual,","When MISALIGNED_MAX_ATOMICITY_GRANULE_SIZE is 0, the hart
cannot atomically perform a misaligned load/store/AMO. When a power of two, the hart can
atomically load/store/AMO a misaligned access that is fully contained in a
MISALIGNED_MAX_ATOMICITY_GRANULE_SIZE-aligned region.

[NOTE]
Even if the hart"
MISALIGNED_SPLIT_STRATEGY,"The *order* the implementation appears
to process a non-atomic misaligned load/store, which determines how/which
exceptions will be reported.",NORM_DIRECT,medium,Misaligned access behavior parameter,binary,"choices: ['sequential_bytes', 'custom']",Sm,ext:Sm AND param:MISALIGNED_LDST(equal=True),False,0,,machine.adoc,1976,5,True,False,[#norm:mcause_exccode_pri2]#Load/store/AMO address-misaligned exceptions may have either higher or,"Options:

  * sequential_bytes: The load/store appears to be broken into byte-sized accesses that processed sequentially from smallest address to largest address
  * custom: Something else. Will result in a call to unpredictable() in the execution"
MISA_CSR_IMPLEMENTED,Whether or not the `misa` CSR is implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Sm,ext:Sm,False,3,mstatus,machine.adoc,23,12,True,False,"but [#norm:misa_csr_implemented]#a value of zero can be returned to indicate the `misa` register has not been implemented#, requiring that CPU capabilities be determined through a separate non-standar","Options:

  true::
    The `misa` CSR returns a non-zero value.

  false::
    The `misa` CSR is read-only-0."
MSTATEEN_AIA_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'mstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","Smstateen, Ssaia",ext:Ssaia AND ext:Smstateen(~> 1.0),False,0,,,,0,,,,"Behavior of the mstateen0.AIA bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
MSTATEEN_CONTEXT_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'mstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","Sdtrig, Smstateen",ext:Sdtrig AND ext:Smstateen,False,0,,smctr.adoc,652,5,True,False,"[#norm:ccounter_reset]#The CtrCycleCounter is reset on writes to `__x__ctrctl`, and on execution of SCTRCLR, to ensure that any accumulated cycle counts do not persist across a context switch.#","Behavior of the mstateen0.CONTEXT bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
MSTATEEN_CSRIND_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'mstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","Smstateen, Sscsrind",ext:Sscsrind AND ext:Smstateen,False,0,,smstateen.adoc,191,3,False,False,"{bits: 1, name: 'CSRIND'},","Behavior of the mstateen0.CSRIND bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
MSTATEEN_ENVCFG_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'mstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","S, Smstateen",ext:S AND ext:Smstateen,False,0,,priv-cfi.adoc,134,3,False,False,*__x__*`envcfg.SSE` fields. The conditions are specified as follows:,"Behavior of the mstateen0.ENVCFG bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
MSTATEEN_IMSIC_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'mstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","Smstateen, Ssaia",ext:Ssaia AND ext:Smstateen(~> 1.0),False,0,,smstateen.adoc,189,3,False,False,"{bits: 1, name: 'IMSIC'},","Behavior of the mstateen0.IMSIC bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
